classification_id,classification_uuid,taxon_id,taxon_classification_id,path,rank,current_scientific_name,current_scientific_name_exact,scientific_name_synonym,scientific_name_synonym_exact,common_name
1,149f50d1-44e8-4f15-a092-251af314041d,369388,1_369388,,sp.,Placodium oasis (A. Massal.) Szatala 1960,Placodium oasis,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,445236,1_445236,Fungi|Ascomycota|Sordariomycetes|Xylariales|Hyponectriaceae|Phragmitensis|Phragmitensis marina,sp.,"Phragmitensis marina M.K.M. Wong, Poon & K.D. Hyde 1998",Phragmitensis marina,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,383180,1_383180,Fungi|Ascomycota|Lecanoromycetes|Peltigerales|Collemataceae|Collema|Collema bermudanum,sp.,Collema bermudanum Tuck. 1916,Collema bermudanum,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,381430,1_381430,Fungi|Ascomycota|Lecanoromycetes|Teloschistales|Teloschistaceae|Caloplaca|Caloplaca cinericola,sp.,Caloplaca cinericola (Hue) Darb. 1923,Caloplaca cinericola,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,380217,1_380217,Fungi|Ascomycota|Lecanoromycetes|Teloschistales|Caliciaceae|Buellia|Buellia austrogeorgica,sp.,Buellia austrogeorgica Müll. Arg.,Buellia austrogeorgica,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,109728,1_109728,Fungi|Basidiomycota|Tremellomycetes|Tremellales|Tremellaceae|Cryptococcus|Cryptococcus baldrensis,sp.,Cryptococcus baldrensis Vishniac & Baharaeen 1982,Cryptococcus baldrensis,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,369389,1_369389,Fungi|Ascomycota|Lecanoromycetes|Ostropales|Gomphillaceae|Ferraroa|Ferraroa hyalina,sp.,"Ferraroa hyalina (Lücking) Lücking, Sérus. & Vezda 2005",Ferraroa hyalina,"Gyalideopsis hyalina Lücking 1997","Gyalideopsis hyalina",""
1,149f50d1-44e8-4f15-a092-251af314041d,445237,1_445237,Protozoa|Amoebozoa|Myxogastrea|Physarida|Physaraceae|Physarum|Physarum nutans rubrum,var.,Physarum nutans var. rubrum (Nann.-Bremek. & Y. Yamam.) Chao H. Chung 1997,Physarum nutans rubrum,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,383181,1_383181,Fungi|Ascomycota|Lecanoromycetes|Peltigerales|Collemataceae|Collema|Collema biatorinoides,sp.,Collema biatorinoides Eitner 1911,Collema biatorinoides,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,380218,1_380218,Fungi|Ascomycota|Lecanoromycetes|Teloschistales|Caliciaceae|Buellia|Buellia avium,sp.,Buellia avium Lynge 1928,Buellia avium,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,322685,1_322685,,sp.,Rhodophyllus lilacinogriseus Raithelh. 1977,Rhodophyllus lilacinogriseus,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,109729,1_109729,Fungi|Basidiomycota|Tremellomycetes|Tremellales|Tremellaceae|Cryptococcus|Cryptococcus hempflingii,sp.,Cryptococcus hempflingii Vishniac & Baharaeen 1982,Cryptococcus hempflingii,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,122307,1_122307,Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricaceae|Lycoperdon|Lycoperdon dakotense,sp.,Lycoperdon dakotense Lloyd,Lycoperdon dakotense,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,123520,1_123520,Fungi|Ascomycota|Dothideomycetes|Incertae sedis|Pseudoperisporiaceae|Nematothecium|Nematothecium ugandensis,sp.,Nematothecium ugandensis Hansf.,Nematothecium ugandensis,"","",""
